Original Ontology Class,SCRF Classification,Justification
awarding an academic degree,Artifact,"Enacted by humans, and therefore is an artifact."
bachelor's degree,Artifact,"Created by humans, and therefore is an artifact."
bachelor's of nursing degree,Artifact,"Created by humans, and therefore is an artifact."
base ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
basic education program,"Artifact, Precept","Described as a whole range of educational activities, taking place in various settings, that aim to meet basic learning needs. As such, is both a human creation (and therefore is an artifact) and an instantiation of a goal (and so a precept)."
behavior,"Artifact, Precept",Both a human-created phenomenon (and therefore is an action) and an instatiation of a goal (and so a precept).
behavioral identity,Precept,Set of normative constraints on behavior (and so a precept).
biological process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
birth attendant role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
bridge ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
burn patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
cancer summary staging,Artifact,A planned process of making a specific determination of the extent of a cancer's spread; therefore an artifact.
cancer summary staging code,Artifact,"Outcome of performing a cancer summary staging process, therefore an artifact."
caption,Artifact,"Textual entity written by humans to describe a figure, therefore an artifact."
caregiver role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
cartesian spatial coordinate datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
case report section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
case report textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
categorization scheme,"Artifact, Precept","Information content entity, and therefore is an artifact, but one that also constrains agents in virtue of how they are categorized, as so is also a precept."
centrally registered identifier,Artifact,"Concrete information content entity, and therefore is an artifact."
centrally registered identifier registry,Artifact,"A set of codes produced by humans, and therefore is an artifact."
centrally registered identifier symbol,Artifact,"A symbol produced by humans, and therefore is an artifact."
characteristic,"Artifact, Precept",Described as inhering in (and so a precept) or borne by (and therefore is an artifact) other entities.
citation,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
code set,Artifact,"Described as a collection of information content entities, and therefore an artifact."
cognitive representation,Precept,"Mental representations produced by organisms; ultimately, any sucgh representation constrains agentic behavior and is therefore a precept."
collection of humans,Agent,"Humans are agents, and a collection of them is a group agent."
communication,"Artifact, Precept",Described as a process that is both physically realized (and therefore is an artifact) and typically has the normative aim of imparting accurate content (and so a precept).
community living health care facility,Artifact,"Physical building created by humans, therefore an artifact."
compiling software,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
completing a program of education,Precept,"Essentially a goal of a student, and therefore a precept."
conclusion section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
conclusion textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
concretization-interpretation process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
concretization-utilization process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
conditional specification,"Artifact, Precept","As a directive information entity, it is both an information content entity (and therefore is an artifact) and a description of a plan (and so a precept)."
conflict of interest section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
conflict of interest textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
consent section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
consent textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
continuant,"Agent, Artifact, Precept","Any entity that exists and persists in time when it exists. Could be an agent, artifact, or precept."
continuant fiat boundary,Artifact,Boundary of a material entity; not an agent or a precept and therefore is an artifact.
contour plot,Artifact,Image created by humans and therefore is an artifact.
contract,Artifact,Document created by humans and therefore is an artifact.
copyright section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
count,Artifact,"Described a a measurement datum, and therefore is an artifact."
counting,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
county smoking rate data,Artifact,"As data produced by humans, they are artifacts."
county smoking survey data,Artifact,"As data produced by humans, they are artifacts."
county smoking survey execution,Artifact,"Concrete execution of a plan, and therefore is an artifact."
county smoking survey plan specification,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
credential role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
curation status specification,Artifact,"Defined as a ""concretization,"" therefore an artifact."
curation subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
currency,Artifact,"Created by humans, therefore an artifact."
data about an ontology part,Artifact,"As data produced by humans, they are artifacts."
data format specification,"Artifact, Precept","As a directive information entity, it is both an information content entity (and therefore is an artifact) and a description of a plan (and so a precept)."
data item,Artifact,"Defined as ""counts of things, analyte concentrations, and statistical summaries."" These are all produced by humans, and so therefore an artifact."
data item extraction from journal article,Artifact,"Subclass of a data item, therefore an artifact."
data set,Artifact,"Produced by agents, therefore an artifact."
data transformation,"Artifact, Precept",Application (and therefore is an artifact) of a protocol (and so a precept).
"database extract, transform, and load process","Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
dataset creating,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
datum label,Artifact,Data labels are produced by humans and as such are artifact.
debt obligation,"Artifact, Precept","As a directive information entity, it is both an information content entity (and therefore is an artifact) and a description of a plan (and so a precept)."
dendrogram,Artifact,"Diagram produced by humans, and therefore is an artifact."
denotator type,Artifact,"Human invention used in ontology classifications, and therefore is an artifact."
density plot,Artifact,"Image produced by humans, and therefore is an artifact."
deontic declaration,"Artifact, Precept","As a social act that creates or revokes a deontic role, it inherits that role's status as both an artifact and a precept."
deontic document act,"Artifact, Precept","As an act (signing a document) that creates or revokes a deontic role, it inherits that role's status as both an artifact and a precept."
descriptive data section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
diagram,Artifact,"Diagram produced by humans, and therefore is an artifact."
dialysis,Artifact,"Medical procedure implemented by humans, and therefore is an artifact."
directive information entity,"Artifact, Precept",Both an information content entity (and therefore is an artifact) and a description of a plan (and so a precept).
disclosure of preferred language,Artifact,"Concrete act implemented by humans, and therefore is an artifact."
disclosure of residence,Artifact,"Concrete act implemented by humans, and therefore is an artifact."
discussion section of a publication about an investigation,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
disposition,Precept,"Effectively defined as a constraint on agential action, and therefore a precept."
document,Artifact,"Produced by humans, and therefore an artifact."
document act performer role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
document in preparation for publication,Artifact,"Produced by humans, and therefore an artifact."
document part,Artifact,"Part of a document produced by humans, and therefore an artifact."
document title,Artifact,"Part of a document produced by humans, and therefore an artifact."
documented identity,Artifact,"Defined as an aggregation of data items, and therefore an artifact."
documenting,"Artifact, Precept","Subclass of a planned process, and therefore both an artifact and a precept."
dot plot,Artifact,"Image produced by humans, and therefore is an artifact."
early childhood education plan specification,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
editors ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
education process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
educational objective,"Artifact, Precept",Defined as an objective specification that has both a concretization (and so is an artifact) and as having an overall goal (and so is a precept).
educational program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
electronic health record data set,Artifact,"As a data produced by humans, is is an artifact."
email address,Artifact,Digital artifact created by humans. 
emergency department facility,Artifact,"Physical building created by humans, therefore an artifact."
emergency department function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
employer role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
employment process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
enrollment end date,Artifact,"Subclass of a temporal region, therefore an artifact."
enrollment start date,Artifact,"Subclass of a temporal region, therefore an artifact."
entity,"Agent, Artifact, Precept","Very broad category that can include both agents, artifacts, and precepts."
ethical approval section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
ethical approval textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
ethnic categorization scheme,Artifact,"Concrete information content entity, and therefore is an artifact."
ethnic category,Agent,"Subclass of social category, which is defined as a collection of humans, therefore an agent."
ethnic identification process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
ethnic identity,Precept,"As an identity, this constrains an agent's actions and so is a precept."
ethnic identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
exchange of ownership,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
exclusion subset ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
external import ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
facility,Artifact,"Physical building created by humans, therefore an artifact."
family,Agent,Group of organisms; therefore an agent.
family identifier,Artifact,"Defined as a human-produced symbol, therefore an artifact."
family name,Artifact,"Social datum, therefore an artifact."
family relationship,"Artifact, Precept",Both created by agents (and therefore is an artifact) and a constraint on agents (and so a precept).
female gender identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
female gender role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
fiat object part,Artifact,"Defined as a part of a material entity whose boundaries are demarcated by agents, and therefore is an artifact."
figure,Artifact,"Created by humans, and therefore is an artifact."
figures section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
financial transaction,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
financial valuation process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
footnote,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
function,Precept,"Described as ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
funding source declaration section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
funding source declaration textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
future directions section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
future directions textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
gender identification process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
gender identity information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
gender role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
gene product or complex activity,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
generated ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
generically dependent continuant,"Agent, Artifact, Precept","Very broad category that can include both agents, artifacts, and precepts."
genome announcement section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
genome announcement textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
geographical movement of organism,Artifact,"Described as the concrete behavior of an organism, and therefore is an artifact."
given name,Artifact,"Data point created by an agent, and therefore is an artifact."
government assistance health care plan data item,Artifact,"Subclass of a data item, therefore an artifact."
government assistance income data item,Artifact,"Subclass of a data item, therefore an artifact."
governmental organization,Agent,"Described as an organization of agents, and therefore is itself an agent."
graduate higher education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
graph,Artifact,"Image created by humans, and therefore is an artifact."
grapheme,Artifact,"Image created by humans, and therefore is an artifact."
graphical abstract,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
health care administrative process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
health care billing data set,Artifact,"As a data set produced by humans, this is an artifact."
health care claim data set,Artifact,"As data produced by humans, they are artifacts."
health care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
health care facility,Artifact,"Physical building created by humans, therefore an artifact."
health care function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
health care plan data item,Artifact,"Subclass of a data item, therefore an artifact."
health care provider organization role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
health care provider role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
heatmap,Artifact,"An image produced by humans, and therefore is an artifact."
heavy smoker role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
higher education objective,"Artifact, Precept",Described both as having a concretization (and so is an artifact) and confering certain normative expectations on an agent (and so is a precept). 
higher education program,"Artifact, Precept","Described as a plan specification, and so both an artifact and precept."
highest level of education data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is below high school completion or equivalent data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of graduate certificate or degree data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of high school or equivalent data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of kindergarten data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of pre-kindergarten data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of undergraduate degree data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is completion of vocaational education program data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is grades 1 through 6 data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is grades 10 through 12 data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is grades 7 through 9 data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is some but not all high school data item,Artifact,"Subclass of a data item, therefore an artifact."
highest level of education is some college data item,Artifact,"Subclass of a data item, therefore an artifact."
histogram,Artifact,"An image produced by humans, and therefore is an artifact."
history,"Artifact, Precept","Defined as a process, and so it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
home health care encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
home health care function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
home health care organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
hospice facility,Artifact,"Physical building created by humans, therefore an artifact."
hospice function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
hospice organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
hospital bed capacity data item,Artifact,"Subclass of a data item, therefore an artifact."
hospital facility,Artifact,"Physical building created by humans, therefore an artifact."
hospital function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
hospital organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
hospital role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
household,"Agent, Artifact",Defined as both a collection of humans (and therefore is an agent) and the physical premises on which they live (and therefore is an artifact).
household identifier,Artifact,"Defined as a symbol, and thus is an artifact."
housing unit,Artifact,"Defined as a material entity constructed by humans, and thus is an artifact."
human health care role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
human patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
human role within an organization,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
human social role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
human travel,Artifact,"Created by humans, and therefore is an artifact."
human traveling information,Artifact,"Defined as a symbol, and thus is an artifact."
hypothesis textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
identification process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
identifier,Artifact,"Defined as a symbol, and thus is an artifact."
identifier creating process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
identity document,Artifact,"As a document created by humans, this is an artifact."
image,Artifact,"Created by humans, and therefore is an artifact."
immaterial entity,"Artifact, Precept","Artifacts can me immaterial (in the case of some actions) as can precepts, which, though neurally realized, lack a unique material implementation."
import ontology module,Artifact,"As an ontology module, it is a subclass of a data item and so is an artifact."
income data item,Artifact,"Subclass of a data item, therefore an artifact."
indemnity contract,Artifact,Written by humans and therefore an artifact.
independent continuant,"Agent, Artifact, Precept","Very broad category that can include both agents, artifacts, and precepts."
information carrier,Artifact,"Subclass of quality, created by a human and therefore is an artifact."
information content entity,"Artifact, Precept","A continuant object often created by humans (and therefore is an artifact), but one that is about another thing (and so often a precept, because being about a thing often imputes normative goals, problems, etc. onto that thing)."
information content entity request about ethnic identity,Artifact,"Concrete information content entity, and therefore is an artifact."
information content entity request about racial identity,Artifact,"Concrete information content entity, and therefore is an artifact."
information content entity-request process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
injured patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
injury,"Artifact, Precept",Both a concrete affliction that can be created by humans (and therefore is an artifact) and a perceived problem (and therefore is a precept).
inpatient encounter,Artifact,"Physically-realized event created by humans, and therefore is an artifact."
institution list,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
institutional identification,Artifact,Defined as a textual entity and therefore is an artifact.
insurance company,Agent,Corporate entity and therefore an agent. 
insurance organization,Agent,"As an organization, it is composed of agents and is therefore itself an agent."
insurance policy,Artifact,Contract written by humans and therefore is an artifact.
insured party role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
integer numeral,Artifact,"Symbol created by humans, and therefore is an artifact."
integrated delivery network,"Artifact, Precept","Defined as role within an organization, and so is best classified as an artifact and a precept."
intimate partnership,Precept,"Describes a ""relational quality inhering in persons,"" and therefore is a precept."
intravenous drug user,"Artifact, Precept","Subclass of homo sapiens *role*, therefore this describes a role and is best classified as an artifact and precept rather than an agent."
introduction to a publication about an investigation,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
investigation,"Artifact, Precept","As a planned process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
job role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
job role data item,Artifact,"As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
journal article,Artifact,Written by humans and therefore an artifact.
keyword textual entity,Artifact,"Subclass of a textual entity, therefore an artifact."
keywords section,Artifact,"Part of a scientific journal article created by humans, therefore an artifact."
kinase activity,Artifact,"Non-agentic biological process, and so best classified as an artifact."
kindergarten education program,"Artifact, Precept","Described as a plan specification, and so is both an artifact and precept."
language,Precept,"Described as a disposition of an agent, and therefore is a precept."
language-at-home information content entity,Artifact,"Concrete information content entity, and therefore is an artifact."
leaving a health care facility after receiving care,"Artifact, Precept","Described as a process, and therefore it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
legal person role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
length,Artifact,"Defined as an extant quality, and therefore is an artifact."
length measurement datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
length unit,Artifact,"Defined as a data unit, and therefore is an artifact."
light smoker role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
line graph,Artifact,Image produced by humans and therefore an artifact.
linguistic community,Agent,"A collection of agents, and therefore an agent."
