Original Ontology Class,SCRF Classification,Justification
individual fairness,Precept,"Definition of a property that functions as a fairness goal, therefore a precept."
individual fairness for regression,Precept,"Definition of a property that functions as a fairness goal, therefore a precept."
individual fairness paradigm,Precept,"Paradigm describing how fairness should be achieved, as such it is a goal for agents and therefore a precept."
individual-level fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
input difference metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
intersectional bias,Precept,"As a perceived problem to be solved, this is a precept."
k-Center,Artifact,"Numerical quantity calculated by humans, and so an artifact."
k-Medoids,Artifact,"Numerical quantity calculated by humans, and so an artifact."
leximin fair clustering under a bounded cost,Artifact,"Numerical quantity calculated by humans, and so an artifact."
loss,Artifact,"Numerical quantity calculated by humans, and so an artifact."
loss-based fairness,Precept,"Definition of a fairness goal, therefore a precept."
loss-class fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
masking bias,Precept,"As a perceived problem to be solved, this is a precept."
max fairness cost,Precept,"Definition of a fairness goal, therefore a precept."
max mean difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
max-over-clusters clustering fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
max-over-cohorts fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
mean difference,Precept,"Definition of a fairness goal, therefore a precept."
min-over-clusters clustering fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
naive mitigation,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
negative prediction,Artifact,"Numerical quantity calculated by humans, and so an artifact."
negative prediction rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
negative predictive value,Artifact,"Numerical quantity calculated by humans, and so an artifact."
omitted variable bias,Precept,"As a perceived problem to be solved, this is a precept."
outcome count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
output difference metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
overall accuracy equality,Precept,"Definition of a fairness goal, therefore a precept."
pairwise difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
pairwise equal accuracy,Precept,"Definition of a fairness goal, therefore a precept."
pairwise equal accuracy difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
pairwise equal opportunity,Precept,"Definition of a fairness goal, therefore a precept."
pairwise equal opportunity difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
pairwise fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
pairwise statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
pairwise statistical parity,Precept,"Definition of a fairness goal, therefore a precept."
pairwise statistical parity difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
per-cluster fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
per-cohort statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
per-point fairness,Precept,"Definition of a fairness goal, therefore a precept."
per-point statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
positive prediction,Artifact,"Numerical quantity outputted by an AI/ML algorithm, and so an artifact."
positive prediction rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
positive predictive value,Artifact,"Numerical quantity calculated by humans, and so an artifact."
post-processing bias mitigation method,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
pre-processing bias mitigation method,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
prediction negative,Artifact,"Numerical quantity calculated by humans, and so an artifact."
prediction positive,Artifact,"Numerical quantity calculated by humans, and so an artifact."
predictive equality,Precept,"Definition of a fairness goal, therefore a precept."
predictive parity,Precept,"Definition of a fairness goal, therefore a precept."
prevalence,Artifact,"Numerical quantity calculated by humans, and so an artifact."
propensity mitigation,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
protected class,Agent,"Group of agents, and so itself an agent."
ratio-based fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
regression fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
regression fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
regression statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
relaxed fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
representation bias,Precept,"As a perceived problem to be solved, this is a precept."
risk measure,Artifact,"Numerical quantity calculated by humans, and so an artifact."
robust optimization mitigation,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
sampling bias,Precept,"As a perceived problem to be solved, this is a precept."
separation,Precept,"Definition of a property that consitutes a fairness goal, therefore a precept."
separation-class fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
social fairness,Precept,"Definition of a fairness goal, therefore a precept."
social fairness cost,Artifact,"Numerical quantity calculated by humans, and so an artifact."
statistical fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
statistical fairness test,Artifact,"Numerical quantity calculated by humans, and so an artifact."
statistical metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
statistical parity,Precept,"Definition of a fairness goal, therefore a precept."
statistical parity for regression,Precept,"Definition of a fairness goal, therefore a precept."
sufficiency,Precept,"Definition of a property that consitutes a fairness goal, therefore a precept."
sufficiency-class fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
sum-over-clusters clustering fairness metric,Artifact,"Numerical quantity calculated by humans, and so an artifact."
symmetric equal accuracy,Precept,"Definition of a fairness goal, therefore a precept."
symmetric equal accuracy difference,Artifact,"Numerical quantity calculated by humans, and so an artifact."
test-fairness,Precept,"Definition of a fairness goal, therefore a precept."
testing dataset,Artifact,"As a dataset produced by humans, it is an artifact."
thresholded fairness notion,Precept,"Definition of a fairness goal, therefore a precept."
total fairness,Precept,"Definition of a fairness goal, therefore a precept."
total outcome count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
training dataset,Artifact,"Numerical quantity calculated by humans, and so an artifact."
treatment equality,Precept,"Definition of a fairness goal, therefore a precept."
true negative count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
true negative outcome,Artifact,"Classification produced by an AI/ML algorithm, and so an artifact."
true negative rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
true positive count,Artifact,"Numerical quantity calculated by humans, and so an artifact."
true positive outcome,Artifact,"Classification produced by an AI/ML algorithm, and so an artifact."
true positive rate,Artifact,"Numerical quantity calculated by humans, and so an artifact."
utilitarian cluster proportion violation,Artifact,"Defined as a messurement calculated by humans, and so an artifact."
utlitarian fair clustering under a bounded cost,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
validation dataset,Artifact,"As a dataset produced by humans, it is an artifact."
well calibration,Precept,"Definition of a fairness goal, therefore a precept."
worldview,Precept,A comprehensive causal theory that constrains agents' actions.
Clustering Algorithm,"Agent, Artifact","As an AI algorithm, it is treated here as both an agent and an artifact."
